1.39;-40.06045432
1.4;-29.90250826
1.47;-20.32141727
1.44;-10.16070864
1.48;0
1.44;5.080354318
1.43;10.16070864
1.46;15.24106296
1.55;19.74740489
1.55;24.82438317
1.55;29.90250826
1.67;34.98128071
1.66;40.06045432
1.69;45.13989366
1.71;50.21951812
1.75;54.64430437
1.82;59.80501651
1.91;64.80154319
1.98;69.88054093
1.91;74.95972252
1.34;80.03905297
0.95;85.11850563
0.63;90.19805985
0.69;94.70395979
0.2;99.78281415
-0.02;104.8618138
-0.02;109.9409387
-0.12;115.0201721
-0.22;120.0995004
-0.32;125.178912
-0.42;129.6851958
-0.62;135
-0.77;140
-1.01;187.7271424
-1.01;225.1593214
-1.31;227.1843525
-1.31;229.4037489
-1.51;231.2389457
-2.41;248.1941176
-2.51;249.8327441
-2.51;251.092015
-2.51;253.4294774
-2.51;268.0396986
-3.51;333.5004198
-3.41;335.2063394
-2.41;376.0646354
-2.41;377.2252643
-2.31;378.2981496
-2.31;379.6859887
-2.31;381.0312979
-2.71;404.4353718
-2.71;410.3885476
-2.71;412.1366885
-3.01;441.95028
-3.31;443.5586207
-3.31;445.4899774
-3.31;448.6007133
-3.31;450.1197396
-3.31;453.6572495
-3.61;471.9346565
-3.61;473.3718412
-3.61;475.2038826
-3.61;476.6852211
-3.61;477.603193
-3.91;507.8400536
-4.11;541.2888323
-4.21;543.0741846
-4.11;544.5314041
-4.11;545.883843
-4.11;547.1329363
-4.31;548.6025611
-4.41;570.8930723
-4.51;572.7219395
-4.51;575.1265078
-4.51;600.2950108
-4.71;611.1107346
-4.91;653.5499139
-4.91;656.6683942
-4.91;658.9417273
-4.79;674.959258
-4.99;678.6941874
-4.89;682.2417827
-5.19;753.2458098
-5.19;756.9148565
-5.19;760.6160201
-5.19;764.4022828
-5.29;768.1578288
-5.29;771.9226127
-5.29;844.7847773
-5.69;848.2886124
-5.69;852.2236796
-5.69;856.0509623
-6.19;902.6142753
-6.29;906.421894
-6.29;910.0068791
-6.29;914.793709
-6.39;917.5025504
-6.39;922.1188752
-6.89;997.9875851
-6.89;1005.048705
-6.89;1008.787416
-6.89;1011.868816
-6.89;1015.167144
-7.39;1076.288293
-7.39;1079.007618
-7.39;1082.64157
-7.39;1085.999286
-7.39;1089.245633
-7.89;1148.711439
-7.89;1154.214062
-7.89;1213.140989
-7.89;1216.76787
-8.09;1219.960532
-8.09;1223.092331
-8.09;1226.111259
-8.09;1229.299589
-8.09;1282.166237
-8.19;1282.166237
-8.19;1297.417947
-8.39;1297.417947
-8.49;1328.525995
-8.49;1329.44983
-8.49;1334.630211
-8.49;1335.825445
-8.49;1340.892315
-8.79;1434.799115
-8.69;1491.516909
-8.89;1494.016683
-8.89;1497.042691
-8.89;1500.234305
-8.99;1503.31368
-8.99;1506.339859
-9.29;1566.270644
-9.19;1569.293806
-9.19;1573.220652
-9.19;1564.442869
-9.19;1567.109202
-9.09;1570.54565
-9.09;1576.764751
-9.09;1623.488482
-9.09;1626.511718
-8.79;1629.756509
-8.79;1632.666953
-8.79;1638.769822
-8.79;1694.795401
-8.79;1697.762257
-9.39;1700.898263
-9.39;1703.97392
-9.49;1760.037329
-9.49;1762.534723
-9.49;1776.439487
-9.49;1779.235783
-9.49;1782.758565
-9.69;1827.802355
-9.69;1830.935291
-9.69;1833.43227
-9.69;1837.286309
-9.89;1842.470605
-9.79;1885.544985
-9.39;1889.259921
-9.39;1892.2831
-10.09;1958.230839
-9.89;1960.976912
-9.89;1964.527068
-9.89;1968.160486
-9.99;2022.774975
-10.09;2025.131428
-10.09;2028.487025
-10.09;2039.110791
-10.19;2086.44178
-10.09;2089.771818
-10.09;2092.796455
-10.19;2095.347007
-10.19;2099.011036
-10.19;2101.923864
-10.19;2185.063226
-10.39;2187.615362
-10.39;2191.274682
-10.39;2193.99229
-10.49;2220.88671
-10.39;2223.797626
-10.8;2226.653374
-10.69;2229.759119
-10.69;2232.781628
-10.3;2244.59479
-10;2291.808997
-9.9;2297.830303
-10.89;2301.412438
-10.69;2357.453138
-10.5;2360.615246
-10.69;2363.670472
-10.3;2420.615676
-10.7;2424.135155
-10.7;2427.657855
-10.7;2430.178471
-10.7;2433.257909
-10.7;2436.278022
-10.5;2491.345325
-10.5;2493.97251
-10.79;2497.047651
